ror_id,doi,affiliation,count_usage,predicted_ror_id,ratio,match,,,,,
https://ror.org/02rx3b187,10.1103/PhysRevA.105.L020802,"Université de Grenoble Alpes, CNRS, IPAG (Institut de Planétologie et d'Astrophysique de Grenoble), F-38000 Grenoble, France",1,https://ror.org/01kcrnc96,0.872235298,N,,,,,
https://ror.org/05n3dz165,10.1103/PhysRevLett.90.024501,"Department of Physics, University of Jyväskylä, P.O. Box 35, FIN–40351 Jyväskylä, Finland",1,https://ror.org/05n3dz165,0.993449509,Y,,,,,
https://ror.org/011dv8m48,10.1103/PhysRevA.104.023701,"International Centre for Theory of Quantum Technologies, University of Gdańsk, PL-80308 Gdańsk, Poland",1,,,NP,,,,,
https://ror.org/0079gpv38,10.1103/PhysRevD.94.124024,"Facultad de Ciencias de la Universidad Autónoma del Estado de México, Instituto Literario No. 100, C.P. 50000 Toluca, Estado de México, México",1,https://ror.org/0079gpv38,0.992530704,Y,,,,,
https://ror.org/035xkbk20,10.1103/PhysRevE.88.042407,"Institut Matériaux Microélectronique Nanosciences de Provence, Aix-Marseille Université and CNRS UMR 7334, Campus de Saint-Jérôme, Case 142, 13397 Marseille Cedex 20, France",1,,,NP,,,,,
https://ror.org/03n15ch10,10.1103/PhysRevB.92.115109,"Institut de Physique Théorique (IPhT), CEA, CNRS, UMR CNRS 3681, 91191 Gif-sur-Yvette, France",2,https://ror.org/058rvd314,0.989639819,N,,,,,
https://ror.org/051escj72,10.1103/PhysRevE.91.022203,"Université de Montpellier, CNRS, LMGC, Place Eugène Bataillon, 34095 Montpellier, France",1,https://ror.org/051escj72,0.870536268,Y,,,correct,14417,90.9%
https://ror.org/02n96ep67,10.1103/PhysRevPhysEducRes.18.020102,"East China Normal University, Faculty of Education, Shanghai 200062, China",2,https://ror.org/02n96ep67,0.999908328,Y,,,incorrect,1445,9.1%
https://ror.org/05591te55,10.1103/PhysRevA.87.042117,"Ludwig-Maximilians-Universität München, Theresienstraße 37, 80333 München, Germany",15,https://ror.org/05591te55,0.999431074,Y,,,no_prediction,4138,20.7%
https://ror.org/03nawhv43,10.1103/PhysRevLett.93.211603,"Department of Physics, University of California, Riverside California 92521-0413, USA",1,https://ror.org/03nawhv43,0.986858189,Y,,,,,
https://ror.org/03v4gjf40,10.1103/PhysRevA.102.033712,"Technische Universität Berlin, Nichtlineare Optik und Quantenelektronik, Hardenbergstraße 36, 10623 Berlin, Germany",1,https://ror.org/03v4gjf40,0.998446882,Y,,,,,
https://ror.org/03rmrcq20,10.1103/PhysRevE.91.012825,"Department of Mathematics, The University of British Columbia, 1984 Mathematics Road, Vancouver, British Columbia, Canada V6T 1Z2",1,https://ror.org/03rmrcq20,0.99497503,Y,,,,,
https://ror.org/02yhj4v17,10.1103/PhysRevE.104.064115,"Institute of Physics, Czech Academy of Sciences, Na Slovance 2, CZ-18221, Prague, Czech Republic",1,https://ror.org/053avzc18,0.938377976,N,,,total_predicted,15862,79.3%
https://ror.org/04vfs2w97,10.1103/PhysRevB.91.115404,"Université de Lorraine, LEMTA, Centre National de la Recherche Scientifique, Unités Mixtes de Recherche 7563, BP 70239, 54506 Vandœuvre Cedex, France",1,,,NP,,,total_records,20000,
https://ror.org/02nv7yv05,10.1103/RevModPhys.87.897,"Peter-Grünberg-Institut PGI-1 and German Research School for Simulation Sciences, Forschungszentrum Jülich, D-52425 Jülich, Germany",1,https://ror.org/02nv7yv05,0.95318079,Y,,,,,
https://ror.org/02qqy8j09,10.1103/PhysRevB.95.165301,"Instituto de Ciencia de Materiales de Madrid, CSIC, E-28049 Cantoblanco, Madrid, Spain",1,https://ror.org/02qqy8j09,0.973952413,Y,,,,,
https://ror.org/01swzsf04,10.1103/PhysRevA.103.033701,"Département de Physique Appliquée, Université de Genève, 1211 Genève, Switzerland",7,https://ror.org/01swzsf04,0.998108029,Y,,,,,
https://ror.org/01srpnj69,10.1103/PhysRevLett.128.213605,"Wellesley College, Wellesley, Massachusetts 02841, USA",1,https://ror.org/01srpnj69,0.957966447,Y,,,,,
https://ror.org/042nb2s44,10.1103/PhysRevLett.100.029802,"Hatsopoulos Microfluids Laboratory Department of Mechanical Engineering Massachusetts Institute of Technology Cambridge, Massachusetts 02139, USA",1,https://ror.org/042nb2s44,0.989046931,Y,,,,,
https://ror.org/00hj54h04,10.1103/PhysRevLett.125.014801,"University of Texas-Austin, Austin, Texas 78712, USA",4,https://ror.org/00hj54h04,0.999934614,Y,,,,,
https://ror.org/048a87296,10.1103/PhysRevB.106.184413,"Uppsala University, Box 538, 751 21, Uppsala, Sweden",1,https://ror.org/048a87296,0.999967813,Y,,,,,
https://ror.org/0213rcc28,10.1103/PhysRevMaterials.7.023404,"Department of Physics, Simon Fraser University, Burnaby, Canada, BC V5A 1S6",1,https://ror.org/0213rcc28,0.9983024,Y,,,,,
https://ror.org/0102mm775,10.1103/PhysRevB.87.165427,"Nicolaus Copernicus University, Grudziądzka 5, 87-100 Toruń, Poland",3,https://ror.org/0102mm775,0.998286605,Y,,,,,
https://ror.org/01qfgm256,10.1103/PhysRevB.97.245310,"Institute of Semiconductor Physics, National Academy of Sciences of Ukraine, Prospekt Nauki 41, 03028 Kyiv, Ukraine",3,,,NP,,,,,
https://ror.org/0160cpw27,10.1103/PhysRevB.97.054517,"Department of Physics, University of Alberta, Edmonton, Alberta, T6G 2E1, Canada",1,https://ror.org/0160cpw27,0.984797239,Y,,,,,
https://ror.org/017zqws13,10.1103/PhysRevB.69.214520,"School of Physics and Astronomy and Minnesota Supercomputer Institute, University of Minnesota, Minneapolis, Minnesota 55455, USA",2,https://ror.org/017zqws13,0.979953408,Y,,,,,
https://ror.org/02kkvpp62,10.1103/PhysRevA.91.042122,"Department Chemie, Technische Universität München, Lichtenbergstrasse 4, 85747 Garching, Germany",1,https://ror.org/02kkvpp62,0.997755885,Y,,,,,
https://ror.org/01g9vbr38,10.1103/PhysRevA.93.012330,"Department of Mathematics, Oklahoma State University, Stillwater, Oklahoma 74078, USA",1,https://ror.org/01g9vbr38,0.99942553,Y,,,,,
https://ror.org/019pzjm43,10.1103/PhysRevE.92.062811,"Universidad Politécnica de Madrid, Av. Juan de Herrera 4, 28040 Madrid, Spain",1,https://ror.org/03n6nwv02,0.998023629,N,,,,,
